Bug ID,RepGen,Llama-3-8B,Llama-3-8B,Llama-3-8B,Llama3.3-70B,Llama3.3-70B,Llama3.3-70B,Deepseek-R1-7B,Deepseek-R1-7B,Deepseek-R1-7B,Deepseek-R1-685B,Deepseek-R1-685B,Deepseek-R1-685B,Qwen-3-8B,Qwen-3-8B,Qwen-3-8B,GPT-4.1,GPT-4.1,GPT-4.1,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-Coder-7B,Qwen2.5-Coder-7B,Qwen2.5-Coder-7B
21,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y
22,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N
23,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
24,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y
25,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y
26,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
27,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,Y
28,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N
29,Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
30,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N
31,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N
32,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
33,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y
34,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,Y
35,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N
36,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
37,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
38,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N
39,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
40,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
41,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N
42,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y
43,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y
44,Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y
45,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
46,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,Y
47,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N
48,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N
49,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N
50,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y
51,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
52,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N
53,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N
54,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y
55,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
56,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
57,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
58,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N
59,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N
60,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y
61,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y
62,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N
63,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y
64,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
65,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,N
66,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
67,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N
68,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y
69,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N
70,Y,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y
71,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,N
72,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N
73,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N
74,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y
75,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y
76,N,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N
77,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
78,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N
79,Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N
80,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
81,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N
82,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y
83,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y
84,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N
85,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N
86,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N
87,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N
88,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
89,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N
90,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
91,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N
92,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N
93,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
94,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y
95,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
96,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,N
97,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N
98,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y
99,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
100,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N
101,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y
102,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N
103,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,N
104,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N
105,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N
106,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
